Date,Open,High,Low,Close,Volume,Adj Close
1997-12-25,378.92,378.92,378.92,378.92,000,378.92
1997-12-24,370.41,370.41,370.41,370.41,000,370.41
1997-12-23,371.85,371.85,371.85,371.85,000,371.85
1997-12-22,355.91,355.91,355.91,355.91,000,355.91
1997-12-19,354.41,354.41,354.41,354.41,000,354.41
1997-12-18,379.86,379.86,379.86,379.86,000,379.86
1997-12-17,383.60,383.60,383.60,383.60,000,383.60
1997-12-16,373.91,373.91,373.91,373.91,000,373.91
1997-12-15,361.24,361.24,361.24,361.24,000,361.24
1997-12-12,339.25,339.25,339.25,339.25,000,339.25
1997-12-11,339.25,339.25,339.25,339.25,000,339.25
1997-12-10,369.16,369.16,369.16,369.16,000,369.16
1997-12-09,387.34,387.34,387.34,387.34,000,387.34
1997-12-08,388.13,388.13,388.13,388.13,000,388.13
1997-12-05,382.42,382.42,382.42,382.42,000,382.42
1997-12-04,361.79,361.79,361.79,361.79,000,361.79
1997-12-03,340.22,340.22,340.22,340.22,000,340.22
1997-12-02,320.38,320.38,320.38,320.38,000,320.38
1997-12-01,322.91,322.91,322.91,322.91,000,322.91
1997-11-28,328.49,328.49,328.49,328.49,000,328.49
1997-11-27,340.03,340.03,340.03,340.03,000,340.03
1997-11-26,356.81,356.81,356.81,356.81,000,356.81
1997-11-25,347.04,347.04,347.04,347.04,000,347.04
1997-11-24,368.47,368.47,368.47,368.47,000,368.47
1997-11-21,382.59,382.59,382.59,382.59,000,382.59
1997-11-20,360.73,360.73,360.73,360.73,000,360.73
1997-11-19,352.10,352.10,352.10,352.10,000,352.10
1997-11-18,360.31,360.31,360.31,360.31,000,360.31
1997-11-17,339.39,339.39,339.39,339.39,000,339.39
1997-11-14,342.07,342.07,342.07,342.07,000,342.07
1997-11-13,344.80,344.80,344.80,344.80,000,344.80
1997-11-12,350.01,350.01,350.01,350.01,000,350.01
1997-11-11,385.69,385.69,385.69,385.69,000,385.69
1997-11-10,402.10,402.10,402.10,402.10,000,402.10
1997-11-07,438.34,438.34,438.34,438.34,000,438.34
1997-11-06,438.34,438.34,438.34,438.34,000,438.34
1997-11-05,440.97,440.97,440.97,440.97,000,440.97
1997-11-04,441.61,441.61,441.61,441.61,000,441.61
1997-11-03,440.82,440.82,440.82,440.82,000,440.82
1997-10-31,422.26,422.26,422.26,422.26,000,422.26
1997-10-30,427.20,427.20,427.20,427.20,000,427.20
1997-10-29,454.34,454.34,454.34,454.34,000,454.34
1997-10-28,392.86,392.86,392.86,392.86,000,392.86
1997-10-27,485.16,485.16,485.16,485.16,000,485.16
1997-10-24,518.29,518.29,518.29,518.29,000,518.29
1997-10-23,528.50,528.50,528.50,528.50,000,528.50
1997-10-22,550.44,550.44,550.44,550.44,000,550.44
1997-10-21,538.01,538.01,538.01,538.01,000,538.01
1997-10-20,526.61,526.61,526.61,526.61,000,526.61
1997-10-17,532.90,532.90,532.90,532.90,000,532.90
1997-10-16,537.07,537.07,537.07,537.07,000,537.07
1997-10-15,539.56,539.56,539.56,539.56,000,539.56
1997-10-14,544.89,544.89,544.89,544.89,000,544.89
1997-10-13,535.65,535.65,535.65,535.65,000,535.65
1997-10-10,527.78,527.78,527.78,527.78,000,527.78
1997-10-09,533.62,533.62,533.62,533.62,000,533.62
1997-10-08,552.88,552.88,552.88,552.88,000,552.88
1997-10-07,559.51,559.51,559.51,559.51,000,559.51
1997-10-06,571.66,571.66,571.66,571.66,000,571.66
1997-10-03,552.14,552.14,552.14,552.14,000,552.14
1997-10-02,525.73,525.73,525.73,525.73,000,525.73
1997-10-01,503.96,503.96,503.96,503.96,000,503.96
1997-09-30,498.42,498.42,498.42,498.42,000,498.42
1997-09-29,492.86,492.86,492.86,492.86,000,492.86
1997-09-26,491.42,491.42,491.42,491.42,000,491.42
1997-09-25,495.15,495.15,495.15,495.15,000,495.15
1997-09-24,496.92,496.92,496.92,496.92,000,496.92
1997-09-23,501.26,501.26,501.26,501.26,000,501.26
1997-09-22,496.40,496.40,496.40,496.40,000,496.40
1997-09-19,492.89,492.89,492.89,492.89,000,492.89
1997-09-18,489.69,489.69,489.69,489.69,000,489.69
1997-09-17,494.48,494.48,494.48,494.48,000,494.48
1997-09-16,490.47,490.47,490.47,490.47,000,490.47
1997-09-15,486.90,486.90,486.90,486.90,000,486.90
